id,address,zip_code,latitude,longitude,bedrooms,bathrooms,rent,sqft,available_date,listing_url,image_urls,description,amenities,property_type,pet_policy,parking,source,scraped_at,geocoded_lat,geocoded_lon,geocoded_status
redfin-5088521941088371159,"603 Davis St #1611, Austin, TX 78701",78701,30.2672,-97.7431,2.0,2.0,3750,1219.0,,https://www.redfin.com/TX/Austin/603-Davis-St-78701/unit-1611/home/31124757,"['https://ssl.cdn-redfin.com/photo/rent/7d10e5b7-ed31-4795-a860-3bb5c700cfe5/islphoto/genIsl.0_5.webp', 'https://ssl.cdn-redfin.com/photo/rent/7d10e5b7-ed31-4795-a860-3bb5c700cfe5/islphoto/genIsl.1_5.webp', 'https://ssl.cdn-redfin.com/photo/rent/7d10e5b7-ed31-4795-a860-3bb5c700cfe5/islphoto/genIsl.20_3.webp']",,[],,,,redfin,2025-09-22T01:03:00.627906,30.2569797,-97.7397337,success
redfin-3235965425356251394,"81 Rainey St, Austin, TX 78701",78701,30.2672,-97.7431,0.0,1.0,2525,,,https://www.redfin.com/TX/Austin/81-Rainey-St-78701/home/31366894,"['https://ssl.cdn-redfin.com/photo/rent/0113276d-207d-4d83-b3f2-196034c75016/islphoto/genIsl.0_1.webp', 'https://ssl.cdn-redfin.com/photo/rent/0113276d-207d-4d83-b3f2-196034c75016/islphoto/genIsl.1_1.webp', 'https://ssl.cdn-redfin.com/photo/rent/0113276d-207d-4d83-b3f2-196034c75016/islphoto/genIsl.9_1.webp']",,[],,,,redfin,2025-09-22T01:03:00.627663,30.2590958,-97.7384663,success
redfin-4035634098896397014,"79 Rainey St, Austin, TX 78701",78701,30.2672,-97.7431,1.0,1.0,500,735.0,,https://www.redfin.com/TX/Austin/79-Rainey-St-78701/home/31366887,"['https://ssl.cdn-redfin.com/photo/rent/7d74ce34-b3ef-49f3-b7dd-e6bb9744c866/islphoto/genIsl.0_2.webp', 'https://ssl.cdn-redfin.com/photo/rent/7d74ce34-b3ef-49f3-b7dd-e6bb9744c866/islphoto/genIsl.1_2.webp', 'https://ssl.cdn-redfin.com/photo/rent/7d74ce34-b3ef-49f3-b7dd-e6bb9744c866/islphoto/genIsl.11_2.webp']",,[],,,,redfin,2025-09-22T01:03:00.628093,30.2589115,-97.7383884,success
redfin-7528651757699887255,"51 Rainey St, Austin, TX 78701",78701,30.2672,-97.7431,0.0,1.0,1694,1079.0,,https://www.redfin.com/TX/Austin/51-Rainey-St-78701/home/52406036,"['https://ssl.cdn-redfin.com/photo/rent/f7475e7c-b517-4a77-b79d-7d50283e67c5/islphoto/genIsl.0_1.webp', 'https://ssl.cdn-redfin.com/photo/rent/f7475e7c-b517-4a77-b79d-7d50283e67c5/islphoto/genIsl.1_1.webp', 'https://ssl.cdn-redfin.com/photo/rent/f7475e7c-b517-4a77-b79d-7d50283e67c5/islphoto/genIsl.9_1.webp']",,[],,,,redfin,2025-09-22T01:03:00.628005,30.2570074,-97.7390802,success
redfin-5033871411244339519,"1800 Lavaca St, Austin, TX 78701",78701,30.2672,-97.7431,1.0,1.0,1325,608.0,,https://www.redfin.com/TX/Austin/1800-Lavaca-St-78701/apartment/44593584,"['https://ssl.cdn-redfin.com/photo/rent/e32fac1b-4767-446f-ac8f-786e0731f525/islphoto/genIsl.0_2.webp', 'https://ssl.cdn-redfin.com/photo/rent/e32fac1b-4767-446f-ac8f-786e0731f525/islphoto/genIsl.1_2.webp', 'https://ssl.cdn-redfin.com/photo/rent/e32fac1b-4767-446f-ac8f-786e0731f525/islphoto/genIsl.15_2.webp']",,[],,,,redfin,2025-09-22T01:03:00.628174,30.2805409,-97.7411384,success
redfin-3386113604863511849,"603 Davis St #1907, Austin, TX 78701",78701,30.2672,-97.7431,1.0,1.0,2200,879.0,,https://www.redfin.com/TX/Austin/603-Davis-St-78701/unit-1907/home/31124722,"['https://ssl.cdn-redfin.com/photo/rent/e0a556b0-272b-4065-960b-40b92e93c968/islphoto/genIsl.0_4.webp', 'https://ssl.cdn-redfin.com/photo/rent/e0a556b0-272b-4065-960b-40b92e93c968/islphoto/genIsl.1_4.webp', 'https://ssl.cdn-redfin.com/photo/rent/e0a556b0-272b-4065-960b-40b92e93c968/islphoto/genIsl.33_4.webp']",,[],,,,redfin,2025-09-22T01:03:00.628254,30.2569797,-97.7397337,success
redfin-2154288207487769929,"901 Red River St, Austin, TX 78701",78701,30.2672,-97.7431,1.0,1.0,1746,819.0,,https://www.redfin.com/TX/Austin/901-Red-River-St-78701/home/31372167,['https://ssl.cdn-redfin.com/photo/rent/e69b6c27-bea8-4c6e-bbaa-afdeaac6a596/islphoto/genIsl.0_1.webp'],,[],,,,redfin,2025-09-22T01:03:00.628336,30.2696224,-97.735692,success
redfin-6670420422001238180,"201 Lavaca St, Austin, TX 78701",78701,30.2672,-97.7431,2.0,2.0,3798,1262.0,,https://www.redfin.com/TX/Austin/201-Lavaca-St-78701/home/31081539,['https://ssl.cdn-redfin.com/photo/rent/cdfd27f5-0463-4888-9a62-9069d97c132c/islphoto/genIsl.0_1.webp'],,[],,,,redfin,2025-09-22T01:03:00.628393,30.265293,-97.746328,success
redfin-7971424210273021887,"311 W 5th St, Austin, TX 78701",78701,30.2672,-97.7431,2.0,2.0,2925,,,https://www.redfin.com/TX/Austin/311-W-5th-St-78701/home/34243522,['https://ssl.cdn-redfin.com/photo/rent/222014e5-6793-4573-bd1a-3140e8fe71e1/islphoto/genIsl.0_2.webp'],,[],,,,redfin,2025-09-22T01:03:00.628440,30.2677634,-97.7464898,success
redfin-8093028591788293112,"1600 West Ave Unit 7, Austin, TX 78701",78701,30.2672,-97.7431,0.0,1.0,1020,400.0,,https://www.redfin.com/TX/Austin/1600-West-Ave-78701/unit-7/home/185518231,['https://ssl.cdn-redfin.com/photo/rent/fa96b48c-cc84-44e1-a9a3-00f87278d4c8/islphoto/genIsl.0_3.webp'],,[],,,,redfin,2025-09-22T01:03:00.628496,30.280258706024625,-97.7470236253668,success
